,0
0,solar_mw
1,temperature_2m
2,relative_humidity_2m
3,precipitation
4,surface_pressure
5,cloud_cover
6,wind_speed_10m
7,wind_direction_10m
8,global_tilted_irradiance
9,temperature_2m_delta_minmax
10,temperature_2m_std
11,relative_humidity_2m_delta_minmax
12,relative_humidity_2m_std
13,precipitation_delta_minmax
14,precipitation_std
15,surface_pressure_delta_minmax
16,surface_pressure_std
17,cloud_cover_delta_minmax
18,cloud_cover_std
19,wind_speed_10m_delta_minmax
20,wind_speed_10m_std
21,wind_direction_10m_delta_minmax
22,wind_direction_10m_std
23,global_tilted_irradiance_delta_minmax
24,global_tilted_irradiance_std
25,month_sin
26,month_cos
27,hour_sin
28,hour_cos
29,solar_mw_lag_t+1
30,solar_mw_lag_t+6
31,solar_mw_lag_t+24
32,solar_mw_lag_t+48
33,solar_mw_ma_6
34,solar_mw_volatility_6
35,solar_mw_ramp_6
36,solar_mw_ma_24
37,solar_mw_volatility_24
38,solar_mw_ramp_24
39,solar_mw_ma_48
40,solar_mw_volatility_48
41,solar_mw_ramp_48
42,global_tilted_irradiance_lag_t+1
43,global_tilted_irradiance_lag_t+6
44,global_tilted_irradiance_lag_t+24
45,global_tilted_irradiance_lag_t+48
46,global_tilted_irradiance_ma_6
47,global_tilted_irradiance_volatility_6
48,global_tilted_irradiance_ramp_6
49,global_tilted_irradiance_ma_24
50,global_tilted_irradiance_volatility_24
51,global_tilted_irradiance_ramp_24
52,global_tilted_irradiance_ma_48
53,global_tilted_irradiance_volatility_48
54,global_tilted_irradiance_ramp_48
55,temperature_2m_lag_t+1
56,temperature_2m_lag_t+6
57,temperature_2m_lag_t+24
58,temperature_2m_lag_t+48
59,temperature_2m_ma_6
60,temperature_2m_volatility_6
61,temperature_2m_ramp_6
62,temperature_2m_ma_24
63,temperature_2m_volatility_24
64,temperature_2m_ramp_24
65,temperature_2m_ma_48
66,temperature_2m_volatility_48
67,temperature_2m_ramp_48
68,wind_speed_10m_lag_t+1
69,wind_speed_10m_lag_t+6
70,wind_speed_10m_lag_t+24
71,wind_speed_10m_lag_t+48
72,wind_speed_10m_ma_6
73,wind_speed_10m_volatility_6
74,wind_speed_10m_ramp_6
75,wind_speed_10m_ma_24
76,wind_speed_10m_volatility_24
77,wind_speed_10m_ramp_24
78,wind_speed_10m_ma_48
79,wind_speed_10m_volatility_48
80,wind_speed_10m_ramp_48
81,temperature_2m_forecast_t+1
82,temperature_2m_forecast_t+3
83,temperature_2m_forecast_t+6
84,temperature_2m_forecast_t+9
85,temperature_2m_forecast_t+12
86,temperature_2m_forecast_t+16
87,temperature_2m_forecast_t+24
88,temperature_2m_forecast_delta_t+1_t
89,temperature_2m_forecast_delta_t+6_t
90,temperature_2m_forecast_delta_t+12_t
91,temperature_2m_forecast_delta_t+24_t
92,relative_humidity_2m_forecast_t+1
93,relative_humidity_2m_forecast_t+3
94,relative_humidity_2m_forecast_t+6
95,relative_humidity_2m_forecast_t+9
96,relative_humidity_2m_forecast_t+12
97,relative_humidity_2m_forecast_t+16
98,relative_humidity_2m_forecast_t+24
99,relative_humidity_2m_forecast_delta_t+1_t
100,relative_humidity_2m_forecast_delta_t+6_t
101,relative_humidity_2m_forecast_delta_t+12_t
102,relative_humidity_2m_forecast_delta_t+24_t
103,precipitation_forecast_t+1
104,precipitation_forecast_t+3
105,precipitation_forecast_t+6
106,precipitation_forecast_t+9
107,precipitation_forecast_t+12
108,precipitation_forecast_t+16
109,precipitation_forecast_t+24
110,precipitation_forecast_delta_t+1_t
111,precipitation_forecast_delta_t+6_t
112,precipitation_forecast_delta_t+12_t
113,precipitation_forecast_delta_t+24_t
114,surface_pressure_forecast_t+1
115,surface_pressure_forecast_t+3
116,surface_pressure_forecast_t+6
117,surface_pressure_forecast_t+9
118,surface_pressure_forecast_t+12
119,surface_pressure_forecast_t+16
120,surface_pressure_forecast_t+24
121,surface_pressure_forecast_delta_t+1_t
122,surface_pressure_forecast_delta_t+6_t
123,surface_pressure_forecast_delta_t+12_t
124,surface_pressure_forecast_delta_t+24_t
125,cloud_cover_forecast_t+1
126,cloud_cover_forecast_t+3
127,cloud_cover_forecast_t+6
128,cloud_cover_forecast_t+9
129,cloud_cover_forecast_t+12
130,cloud_cover_forecast_t+16
131,cloud_cover_forecast_t+24
132,cloud_cover_forecast_delta_t+1_t
133,cloud_cover_forecast_delta_t+6_t
134,cloud_cover_forecast_delta_t+12_t
135,cloud_cover_forecast_delta_t+24_t
136,wind_speed_10m_forecast_t+1
137,wind_speed_10m_forecast_t+3
138,wind_speed_10m_forecast_t+6
139,wind_speed_10m_forecast_t+9
140,wind_speed_10m_forecast_t+12
141,wind_speed_10m_forecast_t+16
142,wind_speed_10m_forecast_t+24
143,wind_speed_10m_forecast_delta_t+1_t
144,wind_speed_10m_forecast_delta_t+6_t
145,wind_speed_10m_forecast_delta_t+12_t
146,wind_speed_10m_forecast_delta_t+24_t
147,wind_direction_10m_forecast_t+1
148,wind_direction_10m_forecast_t+3
